Student_ID,Student_Name,Gender,Class,Attendance_Pct,Mathematics_Exam_100,Physics_Exam_100,Chemistry_Exam_100,English_Exam_100,Computer_Science_Exam_100,Biology_Exam_100,History_Exam_100,Mathematics_Internal_50,Physics_Internal_50,Chemistry_Internal_50,English_Internal_50,Computer_Science_Internal_50,Biology_Internal_50,History_Internal_50,Avg_Exam_Score,Avg_Internal_Score,Overall_Score_Pct,Grade,Performance_Category,Pass_Fail
STU1000,Mohit Singh,Male,Class 11B,94,60,62,87,66,79,72,64,36,39,39,43,31,31,43,70.0,37.43,76.02,B,Good,Pass
STU1001,Sonal Menon,Female,Class 11A,87,79,78,98,85,98,83,90,40,35,41,46,39,35,44,87.29,40.0,85.41,A,Very Good,Pass
STU1002,Prakash Chopra,Male,Class 11B,80,71,84,67,77,77,84,76,38,35,34,35,40,35,34,76.57,35.86,76.04,B,Good,Pass
STU1003,Neha Patil,Female,Class 9A,60,70,53,60,53,51,67,64,31,34,31,31,22,27,23,59.71,28.43,59.06,D,Below Average,Pass
STU1004,Varun Verma,Male,Class 11B,66,60,64,73,64,71,45,60,31,22,23,32,26,35,25,62.43,27.71,61.39,C,Average,Pass
STU1005,Nisha Srivastava,Female,Class 11B,47,55,60,53,42,44,42,53,14,17,17,16,12,16,30,49.86,17.43,45.54,D,Below Average,Pass
STU1006,Nisha Bhatt,Female,Class 10A,64,56,49,45,51,59,41,34,29,29,16,12,12,15,28,47.86,20.14,49.19,D,Below Average,Pass
STU1007,Gaurav Verma,Male,Class 10B,30,23,21,24,31,22,39,33,15,13,22,18,9,6,16,27.57,14.14,28.23,F,Poor,Fail
STU1008,Kritika Desai,Female,Class 12A,89,92,79,91,91,75,89,99,40,35,39,40,39,50,38,88.0,40.14,86.27,A,Very Good,Pass
STU1009,Deepak Hegde,Male,Class 12B,85,69,48,73,62,46,52,51,28,21,23,36,34,37,20,57.29,28.43,62.72,C,Average,Pass
STU1010,Naveen Nambiar,Male,Class 10B,67,38,44,46,47,55,45,46,19,28,20,29,18,26,16,45.86,22.29,49.77,D,Below Average,Pass
STU1011,Pooja Saxena,Female,Class 12B,70,47,66,52,58,47,51,66,29,23,24,31,24,28,24,55.29,26.14,57.48,D,Below Average,Pass
STU1012,Lakshmi Choudhary,Female,Class 9B,97,90,80,96,82,80,97,88,47,45,48,41,46,45,37,87.57,44.14,89.63,A,Very Good,Pass
STU1013,Priya Sinha,Female,Class 12B,74,67,45,57,55,61,64,54,36,22,23,27,23,22,28,57.57,25.86,59.39,D,Below Average,Pass
STU1014,Sneha Bhat,Female,Class 10A,68,69,49,71,58,72,74,66,28,32,24,37,36,38,35,65.57,32.86,66.09,C,Average,Pass
STU1015,Kavya Shah,Female,Class 9A,90,88,77,83,75,95,77,100,43,37,42,37,43,38,49,85.0,41.29,85.39,A,Very Good,Pass
STU1016,Deepak Malhotra,Male,Class 12A,68,64,49,46,61,67,52,75,23,25,28,21,25,26,29,59.14,25.29,58.77,D,Below Average,Pass
STU1017,Ishita Rajan,Female,Class 10B,54,44,46,51,35,38,41,55,12,20,13,12,12,28,29,44.29,18.0,44.16,F,Poor,Fail
STU1018,Sunil Menon,Male,Class 10B,89,63,81,86,80,73,81,75,45,40,44,37,34,35,38,77.0,39.0,79.65,B,Good,Pass
STU1019,Dev Jain,Male,Class 10A,72,56,46,71,49,45,47,65,28,33,25,21,22,32,36,54.14,28.14,58.25,D,Below Average,Pass
STU1020,Smita Pillai,Female,Class 11A,46,44,35,35,38,44,30,38,23,22,29,22,19,13,21,37.71,21.29,40.59,F,Poor,Fail
STU1021,Rajesh Kumar,Male,Class 9A,85,72,62,75,68,76,80,66,35,44,28,30,36,30,32,71.29,33.57,72.99,B,Good,Pass
STU1022,Pallavi Mehta,Female,Class 12A,45,39,39,50,37,32,48,60,28,16,24,22,27,16,21,43.57,22.0,43.96,F,Poor,Fail
STU1023,Rohit Jain,Male,Class 12A,89,91,99,91,93,100,75,96,42,37,35,36,39,46,38,92.14,39.0,87.98,A,Very Good,Pass
STU1024,Pooja Dubey,Female,Class 9A,95,60,80,77,81,67,75,68,28,42,30,44,45,30,44,72.57,37.57,77.7,B,Good,Pass
STU1025,Amitabh Choudhary,Male,Class 12B,68,70,47,72,53,52,68,69,26,27,34,35,32,22,35,61.57,30.14,62.53,C,Average,Pass
STU1026,Preeti Mehta,Female,Class 10B,77,79,64,70,68,80,83,82,37,32,28,43,29,43,36,75.14,35.43,74.44,B,Good,Pass
STU1027,Prakash Joshi,Male,Class 12B,54,52,46,39,44,44,44,54,15,29,18,21,14,27,12,46.14,19.43,45.89,D,Below Average,Pass
STU1028,Tanvi Nair,Female,Class 12B,68,57,51,74,75,74,51,47,38,22,24,36,28,31,24,61.29,29.0,61.81,C,Average,Pass
STU1029,Deepika Gupta,Female,Class 11B,37,30,43,43,30,27,15,20,5,20,19,17,14,9,18,29.71,14.57,31.03,F,Poor,Fail
STU1030,Priyanka Nambiar,Female,Class 9B,55,30,40,54,40,56,42,33,18,12,21,20,23,14,24,42.14,18.86,43.61,F,Poor,Fail
STU1031,Isha Desai,Female,Class 9B,71,74,58,69,53,72,46,53,23,21,29,24,27,28,33,60.71,26.43,60.81,C,Average,Pass
STU1032,Meera Bhat,Female,Class 11B,70,60,43,58,30,55,54,50,24,29,29,18,14,13,25,50.0,21.71,52.36,D,Below Average,Pass
STU1033,Smita Rajan,Female,Class 10A,80,72,54,60,46,74,74,62,24,25,35,33,30,29,29,63.14,29.29,65.37,C,Average,Pass
STU1034,Simran Choudhary,Female,Class 11A,72,65,52,54,60,62,66,57,23,25,25,22,26,36,35,59.43,27.43,60.8,C,Average,Pass
STU1035,Naveen Sinha,Male,Class 12B,58,34,47,36,37,32,35,40,29,14,22,19,23,20,30,37.29,22.43,43.32,F,Poor,Fail
STU1036,Siddharth Patel,Male,Class 12A,72,58,68,61,51,57,53,55,21,35,28,38,31,24,36,57.57,30.43,61.28,C,Average,Pass
STU1037,Arjun Shah,Male,Class 10B,72,57,65,59,58,75,54,72,20,24,21,33,35,38,35,62.86,29.43,63.69,C,Average,Pass
STU1038,Arjun Saxena,Male,Class 12B,74,52,70,48,52,49,49,61,23,34,22,37,21,20,24,54.43,25.86,57.67,D,Below Average,Pass
STU1039,Pawan Mehta,Male,Class 11A,79,80,68,76,80,73,82,84,31,31,30,37,44,34,40,77.57,35.29,76.11,B,Good,Pass
STU1040,Lakshmi Mahajan,Female,Class 9A,75,77,69,74,68,90,70,80,35,43,44,35,45,35,28,75.43,37.86,75.42,B,Good,Pass
STU1041,Archana Bhatt,Female,Class 11A,61,45,51,60,73,66,65,58,22,28,27,33,31,27,35,59.71,29.0,59.54,D,Below Average,Pass
STU1042,Prakash Sinha,Male,Class 12A,96,96,87,81,75,100,84,98,37,41,50,41,44,41,42,88.71,42.29,89.14,A,Very Good,Pass
STU1043,Lakshmi Chopra,Female,Class 11A,48,60,49,45,49,35,58,37,27,25,13,16,24,13,18,47.57,19.43,45.48,D,Below Average,Pass
STU1044,Vinod Bose,Male,Class 12A,76,82,61,65,72,74,88,82,38,31,30,33,38,34,33,74.86,33.86,73.3,B,Good,Pass
STU1045,Sneha Banerjee,Female,Class 12A,71,55,59,50,48,45,47,53,22,31,33,23,37,26,32,51.0,29.14,56.82,D,Below Average,Pass
STU1046,Preeti Banerjee,Female,Class 12A,62,46,67,60,51,56,62,74,34,26,30,31,35,20,33,59.43,29.86,60.02,C,Average,Pass
STU1047,Ankit Srivastava,Male,Class 12A,46,42,31,44,32,55,59,31,20,18,14,22,23,20,22,42.0,19.86,42.23,F,Poor,Fail
STU1048,Nikhil Choudhary,Male,Class 11B,53,39,30,53,54,49,59,55,14,12,19,15,27,26,24,48.43,19.57,47.02,D,Below Average,Pass
STU1049,Sakshi Chatterjee,Female,Class 12B,49,59,45,35,30,55,59,53,21,16,19,22,22,26,23,48.0,21.29,46.84,D,Below Average,Pass
STU1050,Sunil Verma,Male,Class 12A,69,35,37,43,32,50,31,45,29,29,22,17,25,15,14,39.0,21.57,46.03,D,Below Average,Pass
STU1051,Smita Reddy,Female,Class 10B,63,58,60,67,59,50,52,49,33,34,27,37,23,29,29,56.43,30.29,58.78,D,Below Average,Pass
STU1052,Pallavi Shah,Female,Class 11B,53,53,38,36,44,37,35,37,19,16,21,30,18,22,14,40.0,20.0,42.6,F,Poor,Fail
STU1053,Riya Pillai,Female,Class 10B,80,70,48,65,59,46,48,45,35,27,34,31,21,29,27,54.43,29.14,60.51,C,Average,Pass
STU1054,Rohit Verma,Male,Class 10B,47,41,46,57,35,44,49,38,12,15,23,18,13,23,22,44.29,18.0,42.76,F,Poor,Fail
STU1055,Rohit Joshi,Male,Class 11A,61,64,68,65,74,51,71,45,30,33,31,25,29,22,26,62.57,28.0,60.61,C,Average,Pass
STU1056,Ankit Agarwal,Male,Class 12B,62,58,48,70,57,66,62,49,37,22,25,32,28,33,29,58.57,29.43,59.33,D,Below Average,Pass
STU1057,Shreya Iyer,Female,Class 11A,83,63,73,56,58,58,45,72,31,26,32,32,26,20,33,60.71,28.57,64.28,C,Average,Pass
